matchId,blueTop,blueJungle,blueMid,blueADC,blueSupport,redTop,redJungle,redMid,redADC,redSupport,blueWin,blueTopMastery,blueTopRank,blueJungleMastery,blueJungleRank,blueMidMastery,blueMidRank,blueADCMastery,blueADCRank,blueSupportMastery,blueSupportRank,redTopMastery,redTopRank,redJungleMastery,redJungleRank,redMidMastery,redMidRank,redADCMastery,redADCRank,redSupportMastery,redSupportRank
KR_8161661422,Gnar,Gwen,Anivia,Aphelios,Alistar,Jax,Nocturne,Orianna,Jinx,Janna,0,1580592.0,3.0,34513.0,3.0,252120.0,3.0,97218.0,3.0,20117.0,3.0,248357.0,3.0,12289.0,3.0,999292.0,3.0,524239.0,3.0,24513.0,3.0
KR_8160746794,Yone,Evelynn,Renekton,Jhin,Nautilus,Kennen,Zyra,Yasuo,Ezreal,Braum,1,86844.0,3.0,671581.0,3.0,33121.0,3.0,109122.0,3.0,19314.0,3.0,396811.0,3.0,752648.0,3.0,660852.0,3.0,97246.0,3.0,10048.0,3.0
KR_8160100221,Cassiopeia,Kindred,Mel,Ashe,TahmKench,Ambessa,Naafiri,Zoe,Jhin,Karma,1,1351239.0,3.0,100055.0,3.0,16497.0,3.0,110854.0,3.0,2966.0,3.0,112712.0,3.0,23746.0,3.0,340422.0,3.0,46665.0,3.0,39243.0,3.0
KR_8160080102,Garen,Graves,Ekko,Jhin,Elise,Rumble,Viego,KSante,Ashe,Nautilus,1,38246.0,3.0,141501.0,3.0,302784.0,3.0,98816.0,3.0,198170.0,3.0,140346.0,3.0,49278.0,3.0,3022263.0,3.0,373364.0,3.0,8231.0,3.0
KR_8160053360,Rumble,Shen,Akali,Lucian,Elise,Jayce,XinZhao,Lissandra,Kaisa,Leona,0,140346.0,3.0,4663979.0,3.0,1364429.0,3.0,681369.0,3.0,47615.0,3.0,783706.0,3.0,97013.0,3.0,138198.0,3.0,203113.0,3.0,15405.0,3.0
KR_8159908211,Sejuani,Elise,Yone,Ezreal,Nami,Zaahen,Khazix,Ahri,Kaisa,Rakan,0,130893.0,3.0,12368.0,3.0,28547.0,3.0,192160.0,3.0,390894.0,3.0,28266.0,3.0,293639.0,3.0,446347.0,3.0,251329.0,3.0,239829.0,3.0
KR_8154472942,Gnar,Nidalee,Talon,Jinx,Nautilus,DrMundo,Qiyana,TwistedFate,Nilah,Senna,1,275009.0,3.0,10474.0,3.0,363586.0,3.0,93036.0,3.0,19314.0,3.0,716825.0,3.0,170091.0,3.0,78650.0,3.0,99534.0,3.0,22831.0,3.0
KR_8154476249,Irelia,Pantheon,Katarina,Jinx,Braum,Renekton,Hecarim,Jayce,Kaisa,Gragas,1,960883.0,3.0,23386.0,3.0,626802.0,3.0,147370.0,3.0,19265.0,3.0,85828.0,3.0,2768258.0,3.0,176759.0,3.0,592461.0,3.0,106444.0,3.0
KR_8154460487,Jax,Graves,Galio,Mel,Janna,Rumble,Pantheon,TwistedFate,Jinx,Nami,1,354929.0,3.0,800755.0,3.0,17725.0,3.0,7314.0,3.0,22015.0,3.0,140346.0,3.0,266319.0,3.0,22499.0,3.0,112421.0,3.0,105910.0,3.0
KR_8163099105,Riven,Nidalee,Talon,Jhin,Nautilus,Jax,Graves,Sylas,Corki,Karma,1,257768.0,3.0,80621.0,3.0,310810.0,3.0,639117.0,3.0,194185.0,3.0,1260713.0,3.0,704.0,3.0,198399.0,3.0,53613.0,3.0,13345.0,3.0
KR_8163032328,Yone,Ambessa,Kaisa,Jhin,Rakan,Akali,Viego,Malphite,Sivir,Velkoz,0,206868.0,3.0,144264.0,3.0,145095.0,3.0,445962.0,3.0,10247.0,3.0,2149746.0,3.0,18486.0,3.0,24330.0,3.0,224317.0,3.0,1079518.0,3.0
KR_8162970083,Jax,Vi,Katarina,Yasuo,Rakan,Gragas,Diana,Yone,Ezreal,Bard,0,1260713.0,3.0,14167.0,3.0,70298.0,3.0,3706625.0,3.0,312414.0,3.0,134819.0,3.0,5253.0,3.0,890453.0,3.0,272225.0,3.0,63635.0,3.0
KR_8162926014,Yorick,Shyvana,Akshan,Smolder,Rakan,Gnar,Vi,Katarina,Ezreal,Karma,1,121546.0,3.0,139330.0,3.0,857812.0,3.0,295758.0,3.0,10247.0,3.0,1384397.0,3.0,2339.0,3.0,70298.0,3.0,234013.0,3.0,36078.0,3.0
KR_8162861515,Sion,Graves,Ahri,Corki,Swain,Jax,Vi,Sylas,Jinx,Lulu,1,70520.0,3.0,129521.0,3.0,426944.0,3.0,274868.0,3.0,1339781.0,3.0,1260713.0,3.0,9335071.0,3.0,28226.0,3.0,239954.0,3.0,384911.0,3.0
KR_8161585958,Olaf,Briar,Galio,Varus,Thresh,Malphite,XinZhao,Annie,Sivir,Skarner,0,199272.0,3.0,2731667.0,3.0,1370106.0,3.0,179059.0,3.0,93067.0,3.0,32566.0,3.0,382802.0,3.0,29102.0,3.0,88933.0,3.0,418381.0,3.0
KR_8161475778,Sett,Ambessa,Ahri,Jhin,Leblanc,Jax,Kindred,Anivia,Kaisa,Nautilus,1,375833.0,3.0,144264.0,3.0,319341.0,3.0,58260.0,3.0,21745.0,3.0,1260713.0,3.0,1125864.0,3.0,252120.0,3.0,459499.0,3.0,775217.0,3.0
KR_8161407950,Jax,Graves,Galio,Yunara,Lulu,Gragas,Ambessa,Orianna,Caitlyn,Lux,0,1260713.0,3.0,64502.0,3.0,103365.0,3.0,100121.0,3.0,19433.0,3.0,543157.0,3.0,144264.0,3.0,9483.0,3.0,168764.0,3.0,54044.0,3.0
KR_8161246004,Gnar,Khazix,Ryze,Brand,Nami,Jax,LeeSin,Swain,Samira,Blitzcrank,0,520697.0,3.0,4173325.0,3.0,55152.0,3.0,1477276.0,3.0,36020.0,3.0,1260713.0,3.0,662921.0,3.0,1520330.0,3.0,8577.0,3.0,223994.0,3.0
KR_8160058060,Jax,RekSai,Lissandra,Ezreal,Anivia,Ambessa,Shaco,Yasuo,Lucian,Nami,1,1260713.0,3.0,114438.0,3.0,404183.0,3.0,131738.0,3.0,7660.0,3.0,441596.0,3.0,812891.0,3.0,864026.0,3.0,425506.0,3.0,1780877.0,3.0
KR_8159985223,Jax,Graves,Heimerdinger,Kaisa,Braum,Chogath,Kayn,Akali,MissFortune,Nautilus,1,1260713.0,3.0,156884.0,3.0,1768962.0,3.0,273773.0,3.0,5398.0,3.0,770929.0,3.0,5939674.0,3.0,436723.0,3.0,108814.0,3.0,29907.0,3.0
KR_8159908738,Jax,Viego,Azir,Ashe,Renata,Heimerdinger,Rengar,Nunu,Ezreal,Mel,0,1260713.0,3.0,1869228.0,3.0,496994.0,3.0,295446.0,3.0,348907.0,3.0,1616685.0,3.0,2618.0,3.0,1393393.0,3.0,42124.0,3.0,125034.0,3.0
KR_8159855721,Jax,Sylas,Taliyah,Kaisa,Rell,Pantheon,Rengar,Nunu,Jhin,Karma,1,1260713.0,3.0,644017.0,3.0,20529.0,3.0,290326.0,3.0,22547.0,3.0,168045.0,3.0,2618.0,3.0,1393393.0,3.0,215829.0,3.0,749421.0,3.0
KR_8159812486,Ivern,Taliyah,Cassiopeia,Kalista,Shen,Fiora,Nidalee,Gangplank,Draven,Lulu,0,1917214.0,3.0,183983.0,3.0,26903.0,3.0,33052.0,3.0,19084.0,3.0,1244809.0,3.0,32650.0,3.0,727525.0,3.0,3199970.0,3.0,62815.0,3.0
KR_8159693163,Jax,Nidalee,Zed,Ezreal,Rell,Sion,Talon,Malzahar,Jhin,Bard,1,1260713.0,3.0,32650.0,3.0,246933.0,3.0,372683.0,3.0,150645.0,3.0,158267.0,3.0,93565.0,3.0,39621.0,3.0,58303.0,3.0,85270.0,3.0
